r/R,file_name
0.04651219389518328,Cyl.csv
0.09085997342345777,Cyl.csv
0.13520775295173226,Cyl.csv
0.19064369423671945,DU99-W-405.csv
0.25716617477889386,NREL-S808.csv
0.32368865532106833,NREL-S808.csv
0.39021113586324280,NREL-S808.csv
0.45673361640541720,NREL-S808.csv
0.52325609694759170,NREL-S808.csv
0.58977857748976610,NREL-S808.csv
0.65630105803194060,NREL-S808.csv
0.72282353857411500,NACA64-618.csv
0.78934601911628940,NACA64-618.csv
0.85586849965846390,NACA64-618.csv
0.91130444094345100,NACA64-618.csv
0.95565222047172550,NACA64-618.csv
1.00000000000000000,NACA64-618.csv
