r/R,c/R
0.15243902439024393, 0.138501742160279
0.2029616724738676, 0.15592334494773596
0.25174216027874563, 0.1750871080139378
0.3005226480836237, 0.1890243902439026
0.35104529616724744, 0.1994773519163764
0.4033101045296167, 0.20121951219512146
0.4520905923344948, 0.20121951219512213
0.5008710801393728, 0.1942508710801394
0.5513937282229966, 0.1855400696864109
0.6019163763066202, 0.17508710801393734
0.6506968641114983, 0.1611498257839723
0.7012195121951219, 0.14547038327526174
0.75, 0.13153310104529603
0.8005226480836238, 0.11236933797909443
0.8493031358885017, 0.0966898954703832
0.9015679442508713, 0.08101045296167242
0.9503484320557494, 0.06184668989546993
1.0008710801393728, 0.04094076655052259
